Group,Seq nr,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
Training,1,31,entrepreneur,single,tertiary,no,544,no,yes,cellular,5,feb,401,2,8,3,other
Training,2,36,management,single,tertiary,no,1,yes,no,cellular,13,may,131,1,-1,0,unknown
Training,3,35,technician,married,tertiary,no,358,no,no,cellular,29,aug,92,9,-1,0,unknown
Training,4,71,retired,married,tertiary,no,2651,no,no,cellular,5,feb,531,2,-1,0,unknown
Training,5,45,admin.,married,secondary,no,1097,yes,yes,cellular,2,feb,174,1,208,1,failure
Training,6,54,blue-collar,divorced,secondary,no,0,yes,yes,unknown,29,may,273,2,-1,0,unknown
Training,7,49,self-employed,married,secondary,no,1683,no,no,cellular,29,aug,61,4,-1,0,unknown
Training,8,37,technician,married,tertiary,no,472,yes,no,unknown,29,may,294,3,-1,0,unknown
Training,9,54,management,married,tertiary,no,11391,no,no,cellular,4,aug,333,1,-1,0,unknown
Training,10,42,technician,single,tertiary,no,135,no,no,cellular,6,aug,384,2,-1,0,unknown
Training,11,44,blue-collar,married,primary,no,135,yes,no,cellular,20,apr,255,1,-1,0,unknown
Training,12,50,management,divorced,tertiary,no,704,yes,no,unknown,8,may,233,2,-1,0,unknown
Training,13,29,management,single,tertiary,no,10436,no,no,unknown,27,may,103,2,-1,0,unknown
Training,14,54,technician,married,tertiary,no,-800,yes,no,unknown,26,may,445,2,-1,0,unknown
Training,15,49,admin.,divorced,secondary,no,63,no,no,cellular,29,jul,435,2,-1,0,unknown
Training,16,47,services,married,secondary,no,0,yes,no,telephone,9,jul,250,1,-1,0,unknown
Training,17,58,retired,divorced,secondary,no,0,no,no,unknown,17,jun,436,5,-1,0,unknown
Training,18,56,entrepreneur,married,tertiary,no,1297,yes,no,unknown,16,may,180,1,-1,0,unknown
Training,19,34,management,married,tertiary,no,1036,yes,no,cellular,19,nov,54,7,-1,0,unknown
Training,20,27,self-employed,single,tertiary,no,347,no,no,cellular,6,aug,385,4,-1,0,unknown
Training,21,31,student,married,tertiary,no,0,no,no,cellular,11,may,247,2,367,4,other
Training,22,36,technician,married,secondary,no,1466,yes,no,unknown,29,may,441,1,-1,0,unknown
Training,23,77,retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,161,1,-1,0,unknown
Training,24,52,entrepreneur,married,tertiary,yes,-468,no,no,cellular,8,jul,534,1,-1,0,unknown
Training,25,37,management,married,tertiary,no,19,yes,no,cellular,7,may,580,2,-1,0,unknown
Training,26,34,blue-collar,single,secondary,no,341,yes,no,unknown,8,may,195,1,-1,0,unknown
Training,27,47,blue-collar,married,secondary,no,3237,yes,no,cellular,18,nov,38,1,187,3,failure
Training,28,37,admin.,married,tertiary,no,828,yes,no,cellular,6,may,206,2,342,1,failure
Training,29,37,services,divorced,primary,no,260,yes,no,cellular,17,apr,446,2,-1,0,unknown
Training,30,36,management,married,tertiary,no,0,no,no,telephone,27,aug,645,9,-1,0,unknown
Training,31,53,technician,married,secondary,no,910,no,no,cellular,17,nov,156,1,-1,0,unknown
Training,32,52,self-employed,married,primary,no,314,yes,no,cellular,4,feb,131,2,-1,0,unknown
Training,33,36,admin.,single,secondary,no,-301,no,yes,cellular,22,jul,312,3,-1,0,unknown
Training,34,45,admin.,married,secondary,no,3493,yes,no,cellular,8,jul,498,1,-1,0,unknown
Training,35,47,self-employed,married,secondary,no,523,no,no,unknown,20,jul,7,1,-1,0,unknown
Training,36,29,management,married,tertiary,no,-45,no,no,cellular,2,feb,180,1,-1,0,unknown
Training,37,31,technician,single,secondary,no,118,no,no,cellular,2,feb,50,1,-1,0,unknown
Training,38,26,services,married,secondary,no,44,yes,yes,cellular,4,feb,193,2,237,20,other
Training,39,65,unemployed,married,tertiary,no,0,no,no,cellular,10,aug,465,1,-1,0,unknown
Training,40,33,services,married,secondary,no,-384,yes,no,cellular,9,jul,125,1,-1,0,unknown
Training,41,35,blue-collar,single,secondary,no,1688,yes,no,telephone,7,jul,41,4,-1,0,unknown
Training,42,48,admin.,married,secondary,no,1099,no,yes,unknown,5,jun,340,1,-1,0,unknown
Training,43,48,management,single,tertiary,no,505,no,no,cellular,26,aug,320,5,-1,0,unknown
Training,44,47,admin.,single,tertiary,no,1192,yes,no,unknown,15,may,217,2,-1,0,unknown
Training,45,56,technician,divorced,secondary,no,397,yes,no,unknown,8,may,185,7,-1,0,unknown
Training,46,50,management,married,secondary,no,1580,no,yes,cellular,19,nov,79,3,-1,0,unknown
Training,47,59,retired,married,tertiary,no,135,yes,no,unknown,17,nov,94,1,-1,0,unknown
Training,48,30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,3,-1,0,unknown
Training,49,30,management,single,tertiary,no,2123,no,no,cellular,11,aug,217,2,-1,0,unknown
Training,50,28,services,single,secondary,no,94,yes,no,cellular,16,apr,300,1,-1,0,unknown
Training,51,49,technician,married,secondary,no,8689,no,no,cellular,21,nov,586,1,-1,0,unknown
Training,52,31,management,divorced,tertiary,no,297,no,no,cellular,12,aug,127,1,-1,0,unknown
Training,53,53,management,divorced,secondary,no,1004,no,yes,telephone,22,dec,119,1,-1,0,unknown
Training,54,24,admin.,single,secondary,no,1295,no,no,cellular,21,apr,476,1,-1,0,unknown
Training,55,59,self-employed,married,tertiary,no,0,yes,no,cellular,23,jul,256,1,-1,0,unknown
Training,56,30,management,single,tertiary,no,2317,yes,no,unknown,26,may,260,5,-1,0,unknown
Training,57,33,technician,married,secondary,no,2362,yes,no,cellular,26,aug,271,4,-1,0,unknown
Training,58,58,management,divorced,tertiary,no,5701,no,no,cellular,30,apr,354,1,87,1,success
