Group,Seq nr,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
Training,1,30,management,married,tertiary,no,1119,no,no,cellular,6,aug,199,7,-1,0,unknown,no
Training,2,54,management,married,tertiary,no,-1415,yes,yes,cellular,17,nov,135,1,-1,0,unknown,no
Training,3,46,admin.,single,unknown,yes,0,no,no,unknown,23,may,378,2,-1,0,unknown,no
Training,4,33,management,married,tertiary,no,2213,no,no,cellular,18,feb,240,1,385,9,failure,no
Training,5,52,admin.,married,secondary,no,484,yes,no,unknown,6,may,128,1,-1,0,unknown,no
Training,6,42,management,divorced,tertiary,no,266,no,yes,cellular,28,jan,228,1,-1,0,unknown,no
Training,7,31,admin.,married,secondary,no,23,no,no,cellular,14,jul,77,3,-1,0,unknown,no
Training,8,51,admin.,divorced,secondary,no,467,yes,no,unknown,19,may,83,1,-1,0,unknown,no
Training,9,49,entrepreneur,divorced,primary,yes,-736,no,no,cellular,31,jul,305,6,-1,0,unknown,no
Training,10,27,technician,married,tertiary,no,8,yes,yes,cellular,18,may,398,1,370,2,failure,no
Training,11,56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no
Training,12,30,management,single,tertiary,no,-218,yes,no,cellular,27,aug,13,15,-1,0,unknown,no
Training,13,31,services,single,tertiary,no,2332,no,no,cellular,17,feb,228,1,-1,0,unknown,no
Training,14,59,retired,married,secondary,no,0,no,no,cellular,28,aug,359,7,-1,0,unknown,no
Training,15,36,technician,divorced,secondary,no,556,yes,no,cellular,18,nov,154,3,189,1,failure,no
Training,16,52,blue-collar,single,unknown,no,1785,no,no,cellular,3,feb,168,2,-1,0,unknown,no
Training,17,51,management,married,tertiary,no,9864,no,no,cellular,26,aug,69,4,-1,0,unknown,no
Training,18,37,self-employed,single,tertiary,no,676,no,no,cellular,5,aug,133,2,-1,0,unknown,no
Training,19,43,management,divorced,tertiary,no,1,yes,yes,unknown,2,jun,28,8,-1,0,unknown,no
Training,20,31,technician,single,tertiary,no,699,yes,no,cellular,15,may,282,4,277,4,failure,no
Training,21,39,admin.,married,secondary,no,3047,yes,no,cellular,11,may,279,1,370,2,failure,no
Training,22,20,blue-collar,single,secondary,no,129,yes,yes,unknown,13,may,190,1,-1,0,unknown,no
Training,23,26,services,married,secondary,yes,13,yes,yes,cellular,30,jul,21,25,-1,0,unknown,no
Training,24,34,technician,single,tertiary,no,228,yes,no,cellular,22,jul,387,4,-1,0,unknown,no
Training,25,48,housemaid,married,secondary,no,0,no,no,cellular,28,jul,330,5,-1,0,unknown,no
Training,26,57,retired,married,primary,no,-464,yes,no,cellular,4,feb,75,1,190,6,failure,no
Training,27,40,services,married,secondary,no,1185,yes,no,cellular,11,may,94,1,-1,0,unknown,no
Training,28,33,management,married,tertiary,no,442,yes,no,unknown,7,may,463,1,-1,0,unknown,no
Training,29,59,technician,married,secondary,no,2613,no,no,cellular,5,feb,79,1,-1,0,unknown,no
